85;HQ;Aql;185941-0514.2;52537.1;225.559311;12.02;3.21;M;18;85;41;-;05;14.2
86;VX;Aql;190010-0134.9;53068.7;618.631714;10.08;3.47;M:;19;90;10;-;01;34.9
87;UX;Aql;190025-1129.4;52376.8;187.549515;12.84;1.80;M:;19;90;25;-;11;29.4
88;AK;Aql;190032-0655.2;52746.4;300.196899;10.39;2.45;M;19;90;32;-;06;55.2
89;V0937;Aql;190036-1147.9;52467.1;321.652466;11.81;2.34;M;19;90;36;-;11;47.9
90;V0803;Aql;190047-0729.2;52028.008;0.263423;12.93;0.67;EW/KW;19;90;47;-;07;29.2
91;UY;Aql;190102-1055.0;52849.5;450.819672;12.12;1.04;L;19;90;02;-;10;55.0
92;V0336;Aql;190120+0008.8;51996.1;7.303784;9.53;0.73;DCEP;19;90;20;+;00;08.8
93;QQ;Aql;190208-0904.2;52548;174.098022;12.34;1.33;M;19;90;08;-;09;04.2
94;AM;Aql;190218-0607.0;52560.5;209.355225;10.80;3.26;M;19;90;18;-;06;07.0
95;AL;Aql;190224-0833.2;51979.096;20.991758;10.69;1.49;EA/DS;19;90;24;-;08;33.2
96;AN;Aql;190238-0932.4;52610.3;187.334854;12.27;1.04;M;19;90;38;-;09;32.4
97;CL;Aql;190250-0956.6;52859;328.950806;13.16;1.21;M:;19;90;50;-;09;56.6
98;V1553;Aql;190257+0025.9;53295.5;404.353546;12.34;2.16;M:;19;90;57;+;00;25.9
99;V0950;Aql;190307-0935.8;52330.7;150.780365;12.67;1.34;M;19;90;07;-;09;35.8
100;V0915;Aql;190310+1215.2;52596.6;81.845238;8.10;0.73;LB;19;90;10;+;12;15.2
101;VY;Aql;190322-0709.4;52752.5;336.423218;10.04;4.36;M;19;90;22;-;07;09.4
102;V0337;Aql;190410-0201.8;51980.87;2.733900;8.64;0.68;EB/DM;19;90;10;-;02;01.8
103;V0957;Aql;190432-1042.7;51982.14;0.605140;13.44;1.08;RRAB;19;90;32;-;10;42.7
104;SZ;Aql;190439+0118.4;52036.4;17.135342;8.25;1.16;DCEP;19;90;39;+;01;18.4
105;V0807;Aql;190515+1748.9;52900.1;75.499374;10.07;0.44;LB:;19;90;15;+;17;48.9
106;V0843;Aql;190527-0647.9;51973.612;9.024270;9.81;0.26;EA/KE;19;90;27;-;06;47.9
107;V0804;Aql;190541-0613.1;51966.678;0.655380;11.31;0.47;EW/DW:;19;90;41;-;06;13.1
108;V0959;Aql;190602-0737.9;53162;341.427765;13.11;0.98;M;19;90;02;-;07;37.9
109;V1188;Aql;190606-0112.2;52386;149.307449;12.79;0.70;LB;19;90;06;-;01;12.2
110;R;Aql;190622+0813.8;52914.7;264.537537;6.89;3.42;M;19;90;22;+;08;13.8
111;V0961;Aql;190631-0853.6;52556.6;181.622696;12.92;1.28;M;19;90;31;-;08;53.6
112;EV;Aql;190646+1455.8;52813.6;38.732395;11.59;0.74;CEP;19;90;46;+;14;55.8
113;AU;Aql;190714-0718.9;52392.4;118.243240;13.28;1.12;SRA;19;90;14;-;07;18.9
114;V1342;Aql;190716-0231.8;52686.4;261.194702;13.31;1.25;M;19;90;16;-;02;31.8
115;V0347;Aql;190801+0618.4;52800.8;202.702698;10.49;0.84;LB;19;90;01;+;06;18.4
116;V1191;Aql;190804-0351.1;52413.5;318.345825;12.94;1.69;SR:;19;90;04;-;03;51.1
117;TT;Aql;190814+0117.9;52010.4;13.747652;7.13;1.01;DCEP;19;90;14;+;01;17.9
118;V0496;Aql;190821-0726.3;51979.4;6.809049;7.68;0.42;DCEPS;19;90;21;-;07;26.3
119;V1443;Aql;190825+0908.0;52623.8;149.419754;8.95;0.09;GCAS:;19;90;25;+;09;08.0
120;IQ;Aql;190854-0649.2;52735.9;246.163361;12.41;2.58;M;19;90;54;-;06;49.2
121;FM;Aql;190916+1033.1;52400.3;6.113219;7.93;0.73;DCEP;19;90;16;+;10;33.1
122;AW;Aql;190925-1112.1;52967.2;266.202484;12.36;2.70;M;19;90;25;-;11;12.1
123;V0916;Aql;191000+1232.2;52567.5;13.456073;10.55;0.86;DCEP;19;91;00;+;12;32.2
124;IS;Aql;191009-0021.9;52198.5;280.257843;12.28;0.32;L:;19;91;09;-;00;21.9
125;V0964;Aql;191057-0531.8;52027.42;1.262534;13.06;0.71;EA/SD;19;91;57;-;05;31.8
126;AX;Aql;191117-0910.3;52877.8;289.806458;11.56;3.16;M;19;91;17;-;09;10.3
127;IT;Aql;191123-0614.0;52645.9;310.049591;12.31;3.05;M;19;91;23;-;06;14.0
128;CQ;Aql;191141-1008.3;52540.4;226.816254;13.16;0.83;SRA;19;91;41;-;10;08.3
129;V1194;Aql;191146-1014.4;52520.3;216.461868;13.05;1.77;M;19;91;46;-;10;14.4
130;V1344;Aql;191159+0421.3;52205.9;7.475340;7.69;0.27;DCEP;19;91;59;+;04;21.3
131;V0966;Aql;191200-0202.1;52415.4;175.494583;11.67;1.99;M;19;91;00;-;02;02.1
132;V1426;Aql;191212+0423.7;52184.99;1.175147;9.13;0.42;EA;19;91;12;+;04;23.7
133;KQ;Aql;191223+0133.1;52233.8;156.721436;10.57;1.32;SR;19;91;23;+;01;33.1
134;FN;Aql;191247+0333.4;52156.2;9.474620;8.34;0.54;DCEPS;19;91;47;+;03;33.4
135;AZ;Aql;191344-0211.6;52455.3;214.149521;11.99;2.33;MIRA(ASAS);19;91;44;-;02;11.6
136;V1637;Aql;191349-0529.9;52385;174.644363;11.02;0.26;SR;19;91;49;-;05;29.9
137;V0842;Aql;191354+0237.5;52302.5;65.558235;8.70;0.46;LB;19;91;54;+;02;37.5
138;V0353;Aql;191518+0503.2;52368.6;98.975060;11.32;0.49;LB;19;91;18;+;05;03.2
139;W;Aql;191523-0702.8;53186.3;487.616669;8.73;4.45;M;19;91;23;-;07;02.8
140;CS;Aql;191542-1035.5;52741.8;250.299774;12.59;1.25;M;19;91;42;-;10;35.5
141;V1116;Aql;191550-0128.2;52473.8;168.402817;12.47;0.66;M;19;91;50;-;01;28.2
142;V0354;Aql;191557+0037.6;52108.1;66.080124;11.25;0.28;L:;19;91;57;+;00;37.6
143;WW;Aql;191608-0804.9;52442;176.368011;10.91;3.37;M;19;91;08;-;08;04.9
144;BB;Aql;191639-0855.7;52747.2;231.217621;12.20;2.44;M;19;91;39;-;08;55.7
145;YZ;Aql;191646-0036.3;51987.5;4.672929;10.59;1.87;EA/SD:;19;91;46;-;00;36.3
146;V0918;Aql;191702-1017.7;52355.8;194.967728;12.10;2.53;M;19;91;02;-;10;17.7
147;CT;Aql;191705-0922.9;52769.6;225.409836;12.54;1.56;M;19;91;05;-;09;22.9
148;V0968;Aql;191710-0522.5;52662.3;222.556549;12.82;1.77;M:;19;91;10;-;05;22.5
149;V1449;Aql;191715+0103.6;51980.436;0.182250;8.26;0.10;BCEP;19;91;15;+;01;03.6
150;FP;Aql;191720-0008.9;53058.4;333.092804;10.21;3.49;M;19;91;20;-;00;08.9
151;BC;Aql;191724-0904.8;52033.07;2.904670;12.83;1.20;CEP;19;91;24;-;09;04.8
152;V1450;Aql;191741+0836.9;52191.706;4.812840;8.83;0.28;EB:;19;91;41;+;08;36.9
153;V1119;Aql;191757+0013.9;52358.9;171.392654;13.67;0.77;LB:;19;91;57;+;00;13.9
154;V0409;Aql;191759-0040.7;51981.685;2.049393;11.32;0.61;EA/DM;19;91;59;-;00;40.7
155;CU;Aql;191829-1041.6;52490.9;197.065002;10.75;3.47;M;19;91;29;-;10;41.6
156;ER;Aql;191907+0324.1;53024.8;342.592133;9.76;3.88;M;19;91;07;+;03;24.1
157;CX;Aql;191913-0842.0;52930.2;257.783081;12.05;2.22;M;19;91;13;-;08;42.0
158;BE;Aql;191929-0650.1;52561;208.847534;12.21;2.77;M;19;91;29;-;06;50.1
159;DD;Aql;192021-0939.7;52960.2;259.862976;12.34;2.38;M;19;92;21;-;09;39.7
160;DE;Aql;192034-0951.3;52547.1;254.810425;12.68;2.08;M;19;92;34;-;09;51.3
161;V0848;Aql;192034+0303.0;52329.3;110.887100;12.40;0.69;L;19;92;34;+;03;03.0
162;V0530;Aql;192036-0116.1;52920;354.838715;12.32;1.65;M;19;92;36;-;01;16.1
163;QR;Aql;192038+1255.8;54005.7;362.662933;12.21;0.91;MISC(ASAS);19;92;38;+;12;55.8
164;DF;Aql;192040-1130.7;52667.1;240.143875;10.97;3.23;M;19;92;40;-;11;30.7
165;V1452;Aql;192041+1425.2;53219;188.833420;7.66;0.09;CEP:;19;92;41;+;14;25.2
166;BG;Aql;192043-0453.0;52596;263.695740;12.54;2.26;M;19;92;43;-;04;53.0
167;V0600;Aql;192102+0831.0;52206.7;7.235320;9.74;0.67;DCEP;19;92;02;+;08;31.0
168;V1430;Aql;192148+0433.0;52185;0.873720;10.41;0.66;EA/RS;19;92;48;+;04;33.0
169;V1213;Aql;192210-0439.0;52454.4;212.157928;12.13;3.18;M;19;92;10;-;04;39.0
170;BI;Aql;192212-0823.2;53205;418.160309;12.03;2.52;M;19;92;12;-;08;23.2
171;DG;Aql;192221-1146.2;52456.4;361.812286;12.03;2.10;SRA;19;92;21;-;11;46.2
172;FS;Aql;192254+0032.9;52919.1;309.476105;13.25;1.32;M;19;92;54;+;00;32.9
173;V1217;Aql;192255-0905.9;52478.9;342.011871;11.16;0.22;M;19;92;55;-;09;05.9
174;V0359;Aql;192309-0109.5;52982.4;262.801666;12.84;1.46;SRA;19;92;09;-;01;09.5
175;V0816;Aql;192311-0131.0;52856.4;251.689270;11.90;2.39;M;19;92;11;-;01;31.0
176;V0411;Aql;192315+0506.1;52531.5;180.710815;12.39;0.94;SR;19;92;15;+;05;06.1
177;V0412;Aql;192321+0139.8;52600.2;173.941681;11.86;1.16;LB;19;92;21;+;01;39.8
178;FT;Aql;192344-0031.3;53225.3;378.234314;12.51;2.11;M;19;92;44;-;00;31.3
179;BL;Aql;192400-0914.1;52561.6;156.744080;11.85;3.01;M;19;92;00;-;09;14.1
180;V1223;Aql;192419-0013.1;52377.9;151.759323;13.45;0.68;LB;19;92;19;-;00;13.1
181;V1353;Aql;192421+1602.7;52713.887;1.414827;10.54;0.53;EB/KE;19;92;21;+;16;02.7
182;V1538;Aql;192436+0631.4;52185.1;0.366142;12.25;0.54;EW:;19;92;36;+;06;31.4
183;V1645;Aql;192448-0829.4;52213.1;100.101044;10.70;0.64;SR:;19;92;48;-;08;29.4
184;V0362;Aql;192458-0105.2;52296.1;101.351349;11.73;0.42;RV;19;92;58;-;01;05.2
185;FV;Aql;192505+0249.6;52620.6;207.648361;11.47;2.83;M;19;92;05;+;02;49.6
186;EX;Aql;192507+0500.9;52296.1;57.498894;10.90;0.78;SRB;19;92;07;+;05;00.9
187;BN;Aql;192509-0111.0;52749.3;249.489685;12.87;2.11;MIRA(ASAS);19;92;09;-;01;11.0
188;BM;Aql;192512-0734.8;52545.5;234.082153;11.40;3.12;M:;19;92;12;-;07;34.8
189;KR;Aql;192527+0938.2;52599.3;65.193016;11.45;0.54;S:;19;92;27;+;09;38.2
190;ZZ;Aql;192552-0658.5;52522.2;145.776993;10.91;3.07;M;19;92;52;-;06;58.5
191;BO;Aql;192601-0618.7;52192.8;79.787231;12.96;0.39;L:;19;92;01;-;06;18.7
192;V0971;Aql;192605-1054.5;51969.31;1.624524;11.71;0.92;CWB;19;92;05;-;10;54.5
193;BP;Aql;192611-0634.5;52594.1;192.055359;11.92;2.17;M;19;92;11;-;06;34.5
194;BQ;Aql;192617-0702.7;52365.9;220.823685;12.11;1.12;M;19;92;17;-;07;02.7
195;V0367;Aql;192626+0356.0;52403.8;72.718460;12.59;0.98;SR;19;92;26;+;03;56.0
196;TU;Aql;192736+0203.3;52712.7;274.511139;9.26;1.82;M;19;92;36;+;02;03.3
197;V0920;Aql;192738-0101.8;52027.165;0.164344;13.35;0.94;RRAB;19;92;38;-;01;01.8
198;V0370;Aql;192741+0214.9;52239.2;82.938385;11.95;0.77;SRA;19;92;41;+;02;14.9
199;V1456;Aql;192806+1146.9;52644.5;93.443321;8.57;0.43;SRB;19;92;06;+;11;46.9
200;V0853;Aql;192807+0144.8;52204.4;84.060638;13.02;0.41;L;19;92;07;+;01;44.8
201;V1237;Aql;192847+0724.9;52379;70.960571;12.00;0.26;L;19;92;47;+;07;24.9
202;V0856;Aql;192852-0046.6;53272.2;812.761169;12.67;1.03;IS:;19;92;52;-;00;46.6
203;V0858;Aql;192912+0351.7;52499.9;154.059464;10.29;0.50;LB;19;92;12;+;03;51.7
204;V1243;Aql;192929+0537.3;52185.05;1.406176;12.77;0.77;EA;19;92;29;+;05;37.3
205;V0375;Aql;193006+0633.9;52843.5;216.764175;12.21;1.97;M:;19;93;06;+;06;33.9
206;V0374;Aql;193015-0050.2;53295.5;473.220795;9.01;1.93;SRA;19;93;15;-;00;50.2
207;V0415;Aql;193044+1340.3;52731.5;4.925352;10.41;0.40;EA/SD;19;93;44;+;13;40.3
208;V1246;Aql;193122-0543.8;52607.8;251.010696;13.05;1.66;M:;19;93;22;-;05;43.8
209;DN;Aql;193133-1047.7;52178.9;102.607422;10.45;0.61;SR:;19;93;33;-;10;47.7
210;GK;Aql;193158+0038.0;52543.3;193.597183;12.30;0.83;M;19;93;58;+;00;38.0
211;GL;Aql;193213+0202.8;53215.721;340.982910;12.83;0.77;M;19;93;13;+;02;02.8
212;ES;Aql;193222-0011.5;52623.4;210.031891;11.87;2.05;SR;19;93;22;-;00;11.5
213;BT;Aql;193223-0806.5;52711.2;295.667786;10.69;3.79;M;19;93;23;-;08;06.5
214;V0380;Aql;193235+0217.7;52251;84.150009;11.40;0.46;SR;19;93;35;+;02;17.7
215;V0381;Aql;193254-0102.2;52142.6;54.959999;11.44;0.91;RV;19;93;54;-;01;02.2
216;BV;Aql;193305-0649.1;52484.4;204.740219;12.08;2.62;M;19;93;05;-;06;49.1
217;V0620;Aql;193316+0754.5;52753.5;261.904755;12.48;1.88;M;19;93;16;+;07;54.5
218;V0621;Aql;193321+0615.8;52565.4;154.639175;10.63;0.62;SRB;19;93;21;+;06;15.8
