Lib;EH;DSCT;33438.6082;0.0884132;0;14.982;0.948;9.5;10;0.1
Lyn;AN;DSCT;44291.1252;0.0982747;0;9.241;42.777;10.58;10.79;0.1
Lyn;BE;DSCT;46951.4173;0.0958694;0;9.305;46.153;8.6;9;0.1
Lyn;BO;DSCT;47933.8007;0.0933576;0;8.717;40.995;11.82;12.08;0.1
Lyn;GSC 2977-0238;DSCT;54207.3430;0.0759339;0;8.322;41.983;10.6;11;0.1
Lyn;SZ;DSCT;38124.3982;0.1205349;0;8.160;44.472;9.1;9.7;0.1
Lyr;CN;RRAB;36079.3242;0.4113828;56532.3999999999;18.688;28.723;11.76;11.07;0.004
Lyr;EZ;RRAB;53614.3852;0.5252660;56817.3999999999;18.795;35.991;11.8;10.8;0.002
Lyr;IO;RRAB;36276.2305;0.5771219;56475.5;18.377;32.959;12.24;11.27;0.004
Lyr;RR;RRAB;55934.3910;0.5668640;56183.3999999999;19.424;42.784;8.12;7.06;0.004
Lyr;RZ;RRAB;56880.5431;0.5112424;56487.3999999999;18.727;32.798;12.03;10.6;0.003
Lyr;V593;DSCT;52422.3100;0.1021410;0;18.535;40.599;12.4;13;0.1
Oph;GSC 0429-2098;DSCT;52160.0290;0.1463220;0;17.879;7.011;10.8;11.2;0.1
Oph;ST;RRAB;51327.4860;0.4503553;55428.3999999999;17.567;-1.081;12.74;11.33;0.002
Oph;V567;DSCT;50638.4803;0.1495236;0;17.974;1.101;11.07;11.43;0.1
Ori;GSC 0144-3031;DSCT;54196.5270;0.0580806;0;6.255;6.070;9.93;10.36;0.1
Ori;V1162;DSCT;49992.8348;0.0786917;0;5.534;-6.743;9.78;9.97;0.1
Ori;V337;DSCT;52622.1960;0.2012600;0;5.989;20.034;11.3;11.6;0.1
Peg;BH;RRAB;50799.2400;0.6409874;56549.5;22.884;15.788;10.79;9.99;0.005
Peg;BP;DSCT;48500.0880;0.1095443;0;21.554;22.740;11.69;12.28;0.1
Peg;CG;RRAB;54702.4272;0.4671357;56155.3999999999;21.688;24.773;11.58;10.64;0.003
Peg;DH;RRC;52898.5037;0.2555108;56252.2999999998;22.257;6.823;9.8;9.15;0.004
Peg;DY;SXPHE;44502.0704;0.0729263;0;23.148;17.216;10;10.6;0.1
Peg;V465;DSCT;51323.9130;0.1077213;0;21.864;17.746;13.3;13.5;0.1
Peg;V536;DSCT;52885.4384;0.0645574;0;22.665;13.437;12.7;13.1;0.1
Peg;VV;RRAB;54720.4107;0.4883898;56211.5;22.218;18.451;12.31;11.13;0.003
Per;GSC 2847-0586;DSCT;55882.2786;0.1413000;0;3.069;38.515;10.9;11.1;0.1
Per;GSC 2861-0970;DSCT;53987.6950;0.1101054;0;3.379;39.110;12.2;12.6;0.1
Psc;DW;DSCT;52219.3647;0.0596481;0;1.508;8.693;13.7;14.4;0.1
Psc;GSC 0612-0771;DSCT;51921.7500;0.0627840;0;1.105;8.770;11.2;11.5;0.1
Psc;GSC 0628-0348;DSCT;52625.8420;0.1466430;0;1.758;12.907;8.9;9.3;0.1
Psc;GSC 1750-1237;DSCT;55824.4952;0.0869775;0;1.173;27.321;12.9;13.2;0.1
Psc;RU;RRC;40143.4027;0.3903850;53254.6000000001;1.241;24.416;10.4;9.93;0.008
Psc;RY;RRAB;50027.4208;0.5297438;52617.3999999999;0.195;-1.749;12.72;11.82;0.003
Psc;SS;RRC;50068.2707;0.2877883;55481.2999999998;1.348;21.729;11.21;10.73;0.005
Ser;AN;RRAB;34265.2461;0.5220713;55812.5;15.892;12.961;11.44;10.4;0.004
Ser;BH;RRAB;56814.4413;0.4345590;56110.5;15.250;19.443;13.5;11.9;0.002
Ser;CW;DSCT;51325.4373;0.1891517;0;15.886;6.091;11.7;12.1;0.1
Ser;GSC 0933-0651;DSCT;52383.9520;0.1055040;0;15.601;11.116;12.5;13;0.1
Ser;GSC 5018-1085;DSCT;51931.0800;0.0689910;0;15.771;0.435;12.1;12.6;0.1
Ser;VY;RRAB;54612.6772;0.7140965;53179.5;15.517;1.684;10.46;9.73;0.006
Sex;T;RRC;48500.0359;0.3246992;56728.5;9.891;2.057;10.32;9.81;0.006
Sge;GSC 1594-2234;DSCT;52713.2450;0.1366837;0;19.123;19.023;10.5;10.8;0.1
Sge;GSC 1621-1643;DSCT;52725.2390;0.1146650;0;20.114;17.724;11.6;11.9;0.1
Tau;GSC 1306-0466;DSCT;52621.9410;0.0866010;0;5.664;20.019;11.8;12.2;0.1
Tri;UX;RRAB;53662.3578;0.4669286;56682.5;1.760;31.381;13;11.5;0.009
UMa;AE;SXPHE;50862.3854;0.0860170;0;9.615;44.067;10.86;11.52;0.1
UMa;GSC 3004-0870;DSCT;55601.4482;0.0821588;0;10.360;40.528;13.8;14.3;0.1
UMa;GSC 3428-1497;DSCT;55571.5826;0.0748447;0;9.351;49.098;9.3;9.8;0.1
UMa;GSC 3832-0152;DSCT;53489.2900;0.0913422;0;11.812;54.717;11.7;12.1;0.1
UMa;GSC 3851-0240;DSCT;55661.3514;0.0679460;0;13.758;54.447;12.7;13;0.1
UMa;GW;DSCT;51999.9227;0.2031939;0;10.736;44.679;9.5;10;0.1
UMa;RV;RRAB;51262.3946;0.4680664;56750.5;13.555;53.988;11.3;9.81;0.004
UMa;TU;RRAB;41805.3100;0.5576600;56744.5;11.497;30.067;10.24;9.26;0.004
UMi;GSC 4417-0394;DSCT;54835.1820;0.1322445;0;15.378;74.255;12.5;13;0.1
UMi;YZ;DSCT;51511.6010;0.0966113;0;15.592;85.628;12.2;12.5;0.1
Vir;AV;RRAB;50953.4381;0.6569101;53484.5;13.337;9.188;12.16;11.42;0.005
Vir;GSC 0321-0314;DSCT;52106.7010;0.0782440;0;14.412;4.647;12.9;13.5;0.1
Vir;ST;RRAB;48500.0310;0.4108110;55623.5;14.461;-0.902;12.08;10.84;0.002
Vul;BN;RRAB;53653.3935;0.5941328;56538.5;19.466;24.347;11.4;10.63;0.005
